
 frequency_dependence   1

 band_index    13    34
 sigma_matrix     0   0

 finite_difference_form   2
 finite_difference_spacing  1.000000

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  1  0  0  1  0  0  0 -1
 mtrx03 =  0 -1  0  1 -1  0  0  0  1
 mtrx04 = -1  1  0 -1  0  0  0  0  1
 mtrx05 =  0 -1  0 -1  0  0  0  0 -1
 mtrx06 =  1  0  0  1 -1  0  0  0 -1
 mtrx07 =  1  0  0  0  1  0  0  0 -1
 mtrx08 = -1  1  0  0  1  0  0  0  1
 mtrx09 = -1  1  0 -1  0  0  0  0 -1
 mtrx10 =  0 -1  0  1 -1  0  0  0 -1
 mtrx11 =  1  0  0  1 -1  0  0  0  1
 mtrx12 =  0 -1  0 -1  0  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  26   -6.546113   -6.546113  -15.563308   10.630166  -10.489106  -15.422248  -14.295695   -7.672665   -7.463964   -9.975295  -14.908437   -7.158855   -7.045340    0.814743
  27   -3.634623   -3.634623  -13.009996    7.711837  -12.524944  -17.823104  -18.194088   -3.263639   -3.338933  -11.531870  -16.830030   -2.270565   -2.547410    0.797043
  28   -3.634623   -3.634623  -13.009996    7.711837  -12.524944  -17.823104  -18.194088   -3.263639   -3.338933  -11.531870  -16.830030   -2.270565   -2.547410    0.797043
  29   -3.116198   -3.116198  -12.225967    7.250486  -12.283849  -17.259331  -17.574359   -2.801170   -2.865084  -11.347195  -16.322676   -1.864515   -2.118462    0.797116
  30   -3.116198   -3.116198  -12.225967    7.250486  -12.283849  -17.259331  -17.574359   -2.801170   -2.865084  -11.347195  -16.322676   -1.864515   -2.118462    0.797116
  31   -2.001341   -2.001341   -9.576416    5.884426  -11.052772  -14.744761  -14.892357   -1.853746   -1.881735  -10.381978  -14.073968   -1.182952   -1.338145    0.810368
  32   -2.001341   -2.001341   -9.576416    5.884426  -11.052772  -14.744761  -14.892357   -1.853746   -1.881735  -10.381978  -14.073968   -1.182952   -1.338145    0.810368
  33   -1.566502   -1.566502  -10.810106    6.758459  -12.142330  -16.193978  -16.408306   -1.352173   -1.394449  -11.353661  -15.405309   -0.563504   -0.761342    0.802754
  34   -1.566502   -1.566502  -10.810106    6.758459  -12.142330  -16.193978  -16.408306   -1.352173   -1.394449  -11.353661  -15.405309   -0.563504   -0.761342    0.802754
 
       k =  0.000000  0.583333  0.000000 ik =   8 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  13  -11.564017  -11.564017  -17.116514   12.294703   -9.697719  -14.519530  -12.919144  -13.164403  -12.839355   -9.397822  -14.219633  -12.864506  -12.600369    0.796894
  14  -11.564017  -11.564017  -17.116514   12.294703   -9.697719  -14.519530  -12.919144  -13.164403  -12.839355   -9.397822  -14.219633  -12.864506  -12.600369    0.796894
  15  -10.580601  -10.580601  -16.780781   11.906063   -9.855572  -14.730289  -13.090348  -12.220543  -11.903150   -9.534077  -14.408795  -11.899048  -11.643878    0.806461
  16  -10.580601  -10.580601  -16.780781   11.906063   -9.855572  -14.730289  -13.090348  -12.220543  -11.903150   -9.534077  -14.408795  -11.899048  -11.643878    0.806461
  17   -9.926907   -9.926907  -17.233370   12.021731  -10.071746  -15.283385  -13.778587  -11.431705  -11.137017   -9.684586  -14.896225  -11.044545  -10.825675    0.804168
  18   -9.926907   -9.926907  -17.233370   12.021731  -10.071746  -15.283385  -13.778587  -11.431705  -11.137017   -9.684586  -14.896225  -11.044545  -10.825675    0.804168
  19   -8.996419   -8.996419  -17.694205   12.394668  -11.184035  -16.483571  -15.132084  -10.347907  -10.086261  -10.655214  -15.954751   -9.819086   -9.659819    0.806402
  20   -8.996419   -8.996419  -17.694205   12.394668  -11.184035  -16.483571  -15.132084  -10.347907  -10.086261  -10.655214  -15.954751   -9.819086   -9.659819    0.806402
  21   -7.764040   -7.764040  -16.409913   11.240365  -10.081206  -15.250753  -13.650076   -9.364718   -9.070279   -9.692340  -14.861887   -8.975852   -8.752943    0.816054
  22   -7.764040   -7.764040  -16.409913   11.240365  -10.081206  -15.250753  -13.650076   -9.364718   -9.070279   -9.692340  -14.861887   -8.975852   -8.752943    0.816054
  23   -6.961049   -6.961049  -16.369345   11.274289  -10.685896  -15.780951  -14.321683   -8.420317   -8.150322  -10.244353  -15.339409   -7.978775   -7.790474    0.814979
  24   -6.961049   -6.961049  -16.369345   11.274289  -10.685896  -15.780951  -14.321683   -8.420317   -8.150322  -10.244353  -15.339409   -7.978775   -7.790474    0.814979
  25   -6.713405   -6.713405  -15.751433   10.742363  -10.572832  -15.581902  -14.490672   -7.804636   -7.600729  -10.036211  -15.045281   -7.268015   -7.164381    0.813141
  26   -6.713405   -6.713405  -15.751433   10.742363  -10.572832  -15.581902  -14.490672   -7.804636   -7.600729  -10.036211  -15.045281   -7.268015   -7.164381    0.813141
  27   -3.669184   -3.669184  -12.729833    7.584964  -12.312688  -17.457557  -17.772723   -3.354018   -3.417511  -11.374941  -16.519811   -2.416272   -2.668683    0.798541
  28   -3.669184   -3.669184  -12.729833    7.584964  -12.312688  -17.457557  -17.772723   -3.354018   -3.417511  -11.374941  -16.519811   -2.416272   -2.668683    0.798541
  29   -3.276327   -3.276327  -11.829040    6.687774  -11.556571  -16.697837  -16.965772   -3.008391   -3.061916  -10.685171  -15.826438   -2.136992   -2.364593    0.800233
  30   -3.276327   -3.276327  -11.829040    6.687774  -11.556571  -16.697837  -16.965772   -3.008391   -3.061916  -10.685171  -15.826438   -2.136992   -2.364593    0.800233
  31   -2.117234   -2.117234   -9.810350    5.990428  -11.122657  -14.942579  -15.098848   -1.960966   -1.990650  -10.433376  -14.253298   -1.271685   -1.432305    0.810041
  32   -2.117234   -2.117234   -9.810350    5.990428  -11.122657  -14.942579  -15.098848   -1.960966   -1.990650  -10.433376  -14.253298   -1.271685   -1.432305    0.810041
  33   -1.617084   -1.617084  -10.837085    6.744306  -12.108765  -16.201544  -16.408719   -1.409909   -1.450772  -11.323614  -15.416393   -0.624759   -0.820486    0.802759
  34   -1.617084   -1.617084  -10.837085    6.744306  -12.108765  -16.201544  -16.408719   -1.409909   -1.450772  -11.323614  -15.416393   -0.624759   -0.820486    0.802759
 
       k =  0.000000  0.666667  0.000000 ik =   9 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  13  -11.182373  -11.182373  -17.340839   12.407482   -9.999975  -14.933331  -13.439231  -12.676473  -12.374439   -9.641303  -14.574659  -12.317801  -12.088273    0.797849
  14  -11.182373  -11.182373  -17.340839   12.407482   -9.999975  -14.933331  -13.439231  -12.676473  -12.374439   -9.641303  -14.574659  -12.317801  -12.088273    0.797849
  15  -10.131158  -10.131158  -16.861792   11.777251   -9.952726  -15.037267  -13.452551  -11.715873  -11.410674   -9.590416  -14.674957  -11.353564  -11.118141    0.807411
  16  -10.131158  -10.131158  -16.861792   11.777251   -9.952726  -15.037267  -13.452551  -11.715873  -11.410674   -9.590416  -14.674957  -11.353564  -11.118141    0.807411
  17   -9.822463   -9.822463  -16.784848   11.635776   -9.705086  -14.854158  -13.262864  -11.413757  -11.105188   -9.378789  -14.527861  -11.087461  -10.842164    0.806089
  18   -9.822463   -9.822463  -16.784848   11.635776   -9.705086  -14.854158  -13.262864  -11.413757  -11.105188   -9.378789  -14.527861  -11.087461  -10.842164    0.806089
  19   -8.756655   -8.756655  -17.601604   12.443250  -11.390078  -16.548432  -15.219094  -10.085993   -9.829999  -10.848542  -16.006897   -9.544457   -9.392748    0.807428
  20   -8.756655   -8.756655  -17.601604   12.443250  -11.390078  -16.548432  -15.219094  -10.085993   -9.829999  -10.848542  -16.006897   -9.544457   -9.392748    0.807428
  21   -7.572420   -7.572420  -16.070180   10.968720   -9.892827  -14.994287  -13.380703   -9.186004   -8.891830   -9.532019  -14.633479   -8.825196   -8.596802    0.817689
  22   -7.572420   -7.572420  -16.070180   10.968720   -9.892827  -14.994287  -13.380703   -9.186004   -8.891830   -9.532019  -14.633479   -8.825196   -8.596802    0.817689
  23   -7.247111   -7.247111  -16.789559   11.483355  -10.831410  -16.137615  -14.774474   -8.610251   -8.353917  -10.332872  -15.639077   -8.111713   -7.949127    0.811953
  24   -7.247111   -7.247111  -16.789559   11.483355  -10.831410  -16.137615  -14.774474   -8.610251   -8.353917  -10.332872  -15.639077   -8.111713   -7.949127    0.811953
  25   -6.894406   -6.894406  -16.159120   10.888768  -10.747851  -16.018203  -15.006511   -7.906098   -7.714302  -10.150713  -15.421065   -7.308960   -7.230369    0.810421
  26   -6.894406   -6.894406  -16.159120   10.888768  -10.747851  -16.018203  -15.006511   -7.906098   -7.714302  -10.150713  -15.421065   -7.308960   -7.230369    0.810421
  27   -3.684358   -3.684358  -12.090723    7.390952  -11.910562  -16.610333  -16.785676   -3.509014   -3.543692  -11.087611  -15.787382   -2.686064   -2.883496    0.802230
  28   -3.684358   -3.684358  -12.090723    7.390952  -11.910562  -16.610333  -16.785676   -3.509014   -3.543692  -11.087611  -15.787382   -2.686064   -2.883496    0.802230
  29   -3.554302   -3.554302  -11.299401    6.549441  -11.116649  -15.866609  -16.045042   -3.375868   -3.410652  -10.341107  -15.091066   -2.600326   -2.786293    0.805062
  30   -3.554302   -3.554302  -11.299401    6.549441  -11.116649  -15.866609  -16.045042   -3.375868   -3.410652  -10.341107  -15.091066   -2.600326   -2.786293    0.805062
  31   -2.476725   -2.476725  -10.259759    5.940776  -10.946200  -15.265183  -15.436379   -2.305529   -2.338035  -10.223374  -14.542358   -1.582703   -1.752459    0.810121
  32   -2.476725   -2.476725  -10.259759    5.940776  -10.946200  -15.265183  -15.436379   -2.305529   -2.338035  -10.223374  -14.542358   -1.582703   -1.752459    0.810121
  33   -1.783024   -1.783024  -10.897414    6.742155  -12.039916  -16.195176  -16.377680   -1.600519   -1.636475  -11.262816  -15.418076   -0.823419   -1.012474    0.802987
  34   -1.783024   -1.783024  -10.897414    6.742155  -12.039916  -16.195176  -16.377680   -1.600519   -1.636475  -11.262816  -15.418076   -0.823419   -1.012474    0.802987
 
       k =  0.000000  0.750000  0.000000 ik =  10 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  13  -10.932414  -10.932414  -17.323927   12.463138  -10.145958  -15.006747  -13.535291  -12.403870  -12.108041   -9.773010  -14.633799  -12.030922  -11.810072    0.798955
  14  -10.932414  -10.932414  -17.323927   12.463138  -10.145958  -15.006747  -13.535291  -12.403870  -12.108041   -9.773010  -14.633799  -12.030922  -11.810072    0.798955
  15   -9.729860   -9.729860  -16.786187   11.684532   -9.833902  -14.935557  -13.434285  -11.231132  -10.937036   -9.483381  -14.585036  -10.880611  -10.655181    0.804102
  16   -9.729860   -9.729860  -16.786187   11.684532   -9.833902  -14.935557  -13.434285  -11.231132  -10.937036   -9.483381  -14.585036  -10.880611  -10.655181    0.804102
  17   -9.513679   -9.513679  -16.912644   11.799071  -10.273140  -15.386713  -13.869538  -11.030855  -10.740779   -9.860225  -14.973799  -10.617940  -10.406811    0.808805
  18   -9.513679   -9.513679  -16.912644   11.799071  -10.273140  -15.386713  -13.869538  -11.030855  -10.740779   -9.860225  -14.973799  -10.617940  -10.406811    0.808805
  19   -8.387141   -8.387141  -17.478691   12.293464  -11.476745  -16.661972  -15.367973   -9.681141   -9.433794  -10.916016  -16.101243   -9.120412   -8.980248    0.808851
  20   -8.387141   -8.387141  -17.478691   12.293464  -11.476745  -16.661972  -15.367973   -9.681141   -9.433794  -10.916016  -16.101243   -9.120412   -8.980248    0.808851
  21   -7.674160   -7.674160  -17.216849   11.755535  -10.977000  -16.438314  -15.178359   -8.934115   -8.692659  -10.428680  -15.889994   -8.385794   -8.249418    0.808362
  22   -7.674160   -7.674160  -17.216849   11.755535  -10.977000  -16.438314  -15.178359   -8.934115   -8.692659  -10.428680  -15.889994   -8.385794   -8.249418    0.808362
  23   -7.258033   -7.258033  -15.682122   10.725525   -9.782128  -14.738725  -13.115695   -8.881063   -8.588600   -9.447440  -14.404036   -8.546375   -8.314221    0.819804
  24   -7.258033   -7.258033  -15.682122   10.725525   -9.782128  -14.738725  -13.115695   -8.881063   -8.588600   -9.447440  -14.404036   -8.546375   -8.314221    0.819804
  25   -6.654718   -6.654718  -16.425232   11.076618  -11.076378  -16.424992  -15.421491   -7.658219   -7.468130  -10.439773  -15.788387   -7.021614   -6.952115    0.810574
  26   -6.654718   -6.654718  -16.425232   11.076618  -11.076378  -16.424992  -15.421491   -7.658219   -7.468130  -10.439773  -15.788387   -7.021614   -6.952115    0.810574
  27   -3.747825   -3.747825  -10.766790    6.598091  -10.919593  -15.088293  -15.175047   -3.661071   -3.677627  -10.235599  -14.404299   -2.977077   -3.124164    0.809163
  28   -3.747825   -3.747825  -10.766790    6.598091  -10.919593  -15.088293  -15.175047   -3.661071   -3.677627  -10.235599  -14.404299   -2.977077   -3.124164    0.809163
  29   -3.526848   -3.526848  -11.567813    7.021257  -11.454684  -16.001240  -16.048682   -3.479406   -3.488685  -10.733884  -15.280440   -2.758606   -2.908872    0.804403
  30   -3.526848   -3.526848  -11.567813    7.021257  -11.454684  -16.001240  -16.048682   -3.479406   -3.488685  -10.733884  -15.280440   -2.758606   -2.908872    0.804403
  31   -2.964887   -2.964887  -10.649229    6.494655  -11.314279  -15.468853  -15.642220   -2.791519   -2.824358  -10.580707  -14.735281   -2.057947   -2.229738    0.810582
  32   -2.964887   -2.964887  -10.649229    6.494655  -11.314279  -15.468853  -15.642220   -2.791519   -2.824358  -10.580707  -14.735281   -2.057947   -2.229738    0.810582
  33   -2.087954   -2.087954  -10.953845    6.864711  -12.012428  -16.101563  -16.241538   -1.947978   -1.975436  -11.260365  -15.349500   -1.195915   -1.370897    0.803840
  34   -2.087954   -2.087954  -10.953845    6.864711  -12.012428  -16.101563  -16.241538   -1.947978   -1.975436  -11.260365  -15.349500   -1.195915   -1.370897    0.803840
 
       k =  0.000000  0.833333  0.000000 ik =  11 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  13  -11.145919  -11.145919  -17.109226   12.108803   -9.622364  -14.622787  -13.094503  -12.674203  -12.365365   -9.294904  -14.295327  -12.346743  -12.104078    0.797918
  14  -11.145919  -11.145919  -17.109226   12.108803   -9.622364  -14.622787  -13.094503  -12.674203  -12.365365   -9.294904  -14.295327  -12.346743  -12.104078    0.797918
  15   -9.276835   -9.276835  -17.279713   11.986644  -10.433599  -15.726669  -14.425739  -10.577765  -10.320688   -9.965116  -15.258186  -10.109282   -9.944782    0.802390
  16   -9.276835   -9.276835  -17.279713   11.986644  -10.433599  -15.726669  -14.425739  -10.577765  -10.320688   -9.965116  -15.258186  -10.109282   -9.944782    0.802390
  17   -8.851559   -8.851559  -16.811846   11.695288  -10.456015  -15.572573  -14.105393  -10.318739  -10.041292  -10.006128  -15.122686   -9.868852   -9.676480    0.810898
  18   -8.851559   -8.851559  -16.811846   11.695288  -10.456015  -15.572573  -14.105393  -10.318739  -10.041292  -10.006128  -15.122686   -9.868852   -9.676480    0.810898
  19   -8.099892   -8.099892  -17.540799   12.155651  -11.212663  -16.597811  -15.412238   -9.285465   -9.054696  -10.632290  -16.017438   -8.705092   -8.587291    0.805353
  20   -8.099892   -8.099892  -17.540799   12.155651  -11.212663  -16.597811  -15.412238   -9.285465   -9.054696  -10.632290  -16.017438   -8.705092   -8.587291    0.805353
  21   -7.944299   -7.944299  -17.363734   12.159780  -11.611141  -16.815095  -15.564015   -9.195379   -8.957908  -11.024064  -16.228018   -8.608302   -8.482266    0.810187
  22   -7.944299   -7.944299  -17.363734   12.159780  -11.611141  -16.815095  -15.564015   -9.195379   -8.957908  -11.024064  -16.228018   -8.608302   -8.482266    0.810187
  23   -7.004282   -7.004282  -15.644136   10.695227   -9.902218  -14.851127  -13.266247   -8.589162   -8.304495   -9.546985  -14.495894   -8.233929   -8.013066    0.820385
  24   -7.004282   -7.004282  -15.644136   10.695227   -9.902218  -14.851127  -13.266247   -8.589162   -8.304495   -9.546985  -14.495894   -8.233929   -8.013066    0.820385
  25   -6.229610   -6.229610  -16.315792   10.675235  -10.842666  -16.483223  -15.466309   -7.246524   -7.056033  -10.191398  -15.831954   -6.595255   -6.526761    0.812677
  26   -6.229610   -6.229610  -16.315792   10.675235  -10.842666  -16.483223  -15.466309   -7.246524   -7.056033  -10.191398  -15.831954   -6.595255   -6.526761    0.812677
  27   -3.612079   -3.612079  -10.521463    6.416321  -10.729604  -14.834745  -14.842789   -3.604035   -3.605565  -10.099289  -14.204431   -2.973721   -3.095115    0.809834
  28   -3.612079   -3.612079  -10.521463    6.416321  -10.729604  -14.834745  -14.842789   -3.604035   -3.605565  -10.099289  -14.204431   -2.973721   -3.095115    0.809834
  29   -3.300715   -3.300715  -10.924607    6.448520  -11.075614  -15.551701  -15.650409   -3.202007   -3.220840  -10.371439  -14.847526   -2.497832   -2.651017    0.809206
  30   -3.300715   -3.300715  -10.924607    6.448520  -11.075614  -15.551701  -15.650409   -3.202007   -3.220840  -10.371439  -14.847526   -2.497832   -2.651017    0.809206
  31   -3.250974   -3.250974  -11.105945    6.815032  -11.334536  -15.625449  -15.625792   -3.250631   -3.250698  -10.661455  -14.952368   -2.577550   -2.708107    0.806129
  32   -3.250974   -3.250974  -11.105945    6.815032  -11.334536  -15.625449  -15.625792   -3.250631   -3.250698  -10.661455  -14.952368   -2.577550   -2.708107    0.806129
  33   -2.508809   -2.508809  -10.958624    6.652434  -11.574524  -15.880714  -15.963349   -2.426175   -2.442246  -10.860869  -15.167059   -1.712520   -1.867382    0.805521
  34   -2.508809   -2.508809  -10.958624    6.652434  -11.574524  -15.880714  -15.963349   -2.426175   -2.442246  -10.860869  -15.167059   -1.712520   -1.867382    0.805521
 
       k =  0.000000  0.916667  0.000000 ik =  12 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  13  -11.445404  -11.445404  -17.113963   12.145222   -9.476774  -14.445515  -12.903649  -12.987270  -12.672079   -9.169206  -14.137947  -12.679702  -12.427385    0.795579
  14  -11.445404  -11.445404  -17.113963   12.145222   -9.476774  -14.445515  -12.903649  -12.987270  -12.672079   -9.169206  -14.137947  -12.679702  -12.427385    0.795579
  15   -8.747467   -8.747467  -17.634099   12.285993  -11.028010  -16.376117  -15.199253   -9.924330   -9.692004  -10.470682  -15.818789   -9.367002   -9.244698    0.802588
  16   -8.747467   -8.747467  -17.634099   12.285993  -11.028010  -16.376117  -15.199253   -9.924330   -9.692004  -10.470682  -15.818789   -9.367002   -9.244698    0.802588
  17   -8.402783   -8.402783  -17.689298   12.455084  -11.372279  -16.606492  -15.452640   -9.556634   -9.329951  -10.786893  -16.021106   -8.971249   -8.859569    0.803542
  18   -8.402783   -8.402783  -17.689298   12.455084  -11.372279  -16.606492  -15.452640   -9.556634   -9.329951  -10.786893  -16.021106   -8.971249   -8.859569    0.803542
  19   -8.199871   -8.199871  -16.414828   11.384423  -10.338380  -15.368785  -13.898827   -9.669830   -9.396615   -9.897115  -14.927521   -9.228565   -9.037366    0.814134
  20   -8.199871   -8.199871  -16.414828   11.384423  -10.338380  -15.368785  -13.898827   -9.669830   -9.396615   -9.897115  -14.927521   -9.228565   -9.037366    0.814134
  21   -7.555541   -7.555541  -17.318996   11.927663  -11.613427  -17.004760  -15.792329   -8.767973   -8.539089  -10.998513  -16.389846   -8.153059   -8.040259    0.811219
  22   -7.555541   -7.555541  -17.318996   11.927663  -11.613427  -17.004760  -15.792329   -8.767973   -8.539089  -10.998513  -16.389846   -8.153059   -8.040259    0.811219
  23   -7.081558   -7.081558  -16.139126   10.943922  -10.366260  -15.561465  -14.117354   -8.525669   -8.262571   -9.913234  -15.108438   -8.072642   -7.892079    0.817813
  24   -7.081558   -7.081558  -16.139126   10.943922  -10.366260  -15.561465  -14.117354   -8.525669   -8.262571   -9.913234  -15.108438   -8.072642   -7.892079    0.817813
  25   -6.003224   -6.003224  -15.966048   10.627170  -10.903040  -16.241917  -15.235726   -7.009415   -6.823003  -10.255306  -15.594183   -6.361681   -6.295271    0.814735
  26   -6.003224   -6.003224  -15.966048   10.627170  -10.903040  -16.241917  -15.235726   -7.009415   -6.823003  -10.255306  -15.594183   -6.361681   -6.295271    0.814735
  27   -3.249918   -3.249918  -10.874960    6.566765  -11.143093  -15.451288  -15.491537   -3.209669   -3.217356  -10.477956  -14.786150   -2.544531   -2.679242    0.809026
  28   -3.249918   -3.249918  -10.874960    6.566765  -11.143093  -15.451288  -15.491537   -3.209669   -3.217356  -10.477956  -14.786150   -2.544531   -2.679242    0.809026
  29   -3.154840   -3.154840  -10.719802    6.667334  -11.150439  -15.202908  -15.149646   -3.208101   -3.197824  -10.526963  -14.579432   -2.584626   -2.694653    0.807043
  30   -3.154840   -3.154840  -10.719802    6.667334  -11.150439  -15.202908  -15.149646   -3.208101   -3.197824  -10.526963  -14.579432   -2.584626   -2.694653    0.807043
  31   -2.995410   -2.995410  -11.009453    6.924563  -11.464744  -15.549634  -15.474405   -3.070639   -3.055963  -10.826657  -14.911547   -2.432551   -2.542354    0.804919
  32   -2.995410   -2.995410  -11.009453    6.924563  -11.464744  -15.549634  -15.474405   -3.070639   -3.055963  -10.826657  -14.911547   -2.432551   -2.542354    0.804919
  33   -2.908103   -2.908103  -10.892560    6.745915  -11.442393  -15.589038  -15.613303   -2.883838   -2.888518  -10.776021  -14.922666   -2.217466   -2.350663    0.807139
  34   -2.908103   -2.908103  -10.892560    6.745915  -11.442393  -15.589038  -15.613303   -2.883838   -2.888518  -10.776021  -14.922666   -2.217466   -2.350663    0.807139
 
       k =  0.083333  0.083333  0.000000 ik =  13 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  13  -11.233647  -11.233647  -17.093167   12.079261   -9.537580  -14.551485  -13.017451  -12.767681  -12.456744   -9.218417  -14.232322  -12.448518  -12.202273    0.797307
  14  -11.230877  -11.230877  -17.096676   12.057772   -9.515551  -14.554455  -13.020773  -12.764559  -12.453725   -9.196013  -14.234917  -12.445020  -12.198947    0.797328
  15   -9.125610   -9.125610  -17.407621   12.094938  -10.632199  -15.944882  -14.688664  -10.381828  -10.133365  -10.134039  -15.446721   -9.883668   -9.733734    0.802213
  16   -9.113993   -9.113993  -17.396312   12.112599  -10.657773  -15.941485  -14.683956  -10.371521  -10.122928  -10.160420  -15.444133   -9.874169   -9.723894    0.802316
  17   -8.634996   -8.634996  -16.723072   11.590401  -10.419680  -15.552351  -14.085325  -10.102023   -9.826002   -9.967032  -15.099703   -9.649374   -9.458520    0.811850
  18   -8.634399   -8.634399  -16.721503   11.685176  -10.506758  -15.543086  -14.073498  -10.103988   -9.827483  -10.055769  -15.092097   -9.652999   -9.461348    0.811849
  19   -8.215842   -8.215842  -17.578666   12.211602  -11.211821  -16.578886  -15.402599   -9.392130   -9.162478  -10.633157  -16.000222   -8.813465   -8.696789    0.804766
  20   -8.190237   -8.190237  -17.564317   12.285556  -11.297356  -16.576117  -15.398731   -9.367623   -9.137871  -10.719514  -15.998275   -8.789781   -8.672787    0.804862
  21   -7.944967   -7.944967  -17.251358   12.075957  -11.508779  -16.684180  -15.412757   -9.216390   -8.975721  -10.938668  -16.114069   -8.646280   -8.513528    0.810709
  22   -7.938703   -7.938703  -17.277121   11.951838  -11.420042  -16.745325  -15.489554   -9.194473   -8.956597  -10.840653  -16.165935   -8.615084   -8.486959    0.810574
  23   -6.907946   -6.907946  -15.853200   10.815137  -10.106842  -15.144905  -13.602718   -8.450133   -8.172137   -9.715019  -14.753082   -8.058310   -7.850944    0.819739
  24   -6.882484   -6.882484  -15.854287   10.823948  -10.152741  -15.183080  -13.652748   -8.412815   -8.136850   -9.755240  -14.785578   -8.015314   -7.811030    0.819669
  25   -6.143687   -6.143687  -16.242913   10.683685  -10.883021  -16.442250  -15.425089   -7.160847   -6.970938  -10.231570  -15.790799   -6.509396   -6.441117    0.813295
  26   -6.138556   -6.138556  -16.236588   10.701121  -10.907618  -16.443085  -15.428534   -7.153107   -6.963658  -10.255432  -15.790899   -6.500922   -6.433256    0.813268
  27   -3.516652   -3.516652  -10.545673    6.472365  -10.814145  -14.887453  -14.871342   -3.532763   -3.529692  -10.192634  -14.265942   -2.911253   -3.026655    0.809378
  28   -3.503900   -3.503900  -10.579158    6.517554  -10.850015  -14.911619  -14.886317   -3.529202   -3.524376  -10.230280  -14.291884   -2.909467   -3.022856    0.809249
  29   -3.407919   -3.407919  -10.875027    6.478287  -11.114811  -15.511550  -15.626714   -3.292755   -3.314641  -10.414574  -14.811313   -2.592519   -2.747475    0.809963
  30   -3.354475   -3.354475  -10.844654    6.384495  -11.041205  -15.501364  -15.614347   -3.241492   -3.262996  -10.344590  -14.804749   -2.544877   -2.698970    0.809667
  31   -3.206790   -3.206790  -11.081219    6.893841  -11.376780  -15.564158  -15.522928   -3.248020   -3.239994  -10.722789  -14.910167   -2.594029   -2.713311    0.805337
  32   -3.178900   -3.178900  -11.074014    6.899521  -11.405535  -15.580027  -15.542728   -3.216199   -3.208940  -10.750427  -14.924920   -2.561092   -2.681329    0.805380
  33   -2.608823   -2.608823  -10.951607    6.608393  -11.464433  -15.807647  -15.877273   -2.539197   -2.552700  -10.760883  -15.104097   -1.835647   -1.985598    0.806058
  34   -2.559686   -2.559686  -10.898330    6.640664  -11.534664  -15.792330  -15.871741   -2.480274   -2.495681  -10.831237  -15.088903   -1.776848   -1.928730    0.805985
 
       k =  0.083333  0.166667  0.000000 ik =  14 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  13  -10.948883  -10.948883  -17.190193   12.303839   -9.958948  -14.845302  -13.344151  -12.450035  -12.148966   -9.605752  -14.492107  -12.096840  -11.866607    0.799441
  14  -10.938870  -10.938870  -17.202534   12.283027   -9.937636  -14.857143  -13.357471  -12.438542  -12.137795   -9.583106  -14.502613  -12.084012  -11.854363    0.799458
  15   -9.597853   -9.597853  -17.021597   11.962657  -10.203309  -15.262248  -13.855545  -11.004557  -10.726692   -9.803014  -14.861954  -10.604262  -10.405467    0.802471
  16   -9.594055   -9.594055  -17.001668   12.008685  -10.256073  -15.249055  -13.839847  -11.003263  -10.725052   -9.857812  -14.850795  -10.605003  -10.405418    0.802576
  17   -9.185130   -9.185130  -16.905230   11.669860  -10.288980  -15.524350  -14.031037  -10.678443  -10.394294   -9.854016  -15.089385  -10.243478  -10.042095    0.809719
  18   -9.175298   -9.175298  -16.883353   11.716232  -10.336001  -15.503122  -14.006913  -10.671507  -10.386927   -9.903633  -15.070754  -10.239139  -10.036796    0.809800
  19   -8.501817   -8.501817  -17.283705   12.153371  -11.263568  -16.393902  -15.067564   -9.828156   -9.575317  -10.731265  -15.861599   -9.295853   -9.144486    0.809371
  20   -8.497162   -8.497162  -17.257094   12.277462  -11.370438  -16.350070  -15.013323   -9.833908   -9.579261  -10.844536  -15.824168   -9.308006   -9.153542    0.809502
  21   -7.908544   -7.908544  -17.251677   11.907283  -11.022953  -16.367347  -15.115615   -9.160276   -8.919474  -10.479137  -15.823531   -8.616460   -8.480275    0.807625
