
 frequency_dependence   1

 band_index    11    40
 sigma_matrix     0   0

 finite_difference_form   1
 finite_difference_spacing  1.000000

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  0  0  0 -1  0  0  0  1
 mtrx03 =  1 -1  0  1  0  0  0  0  1
 mtrx04 =  0  1  0 -1  1  0  0  0  1
 mtrx05 =  0 -1  0  1 -1  0  0  0  1
 mtrx06 = -1  1  0 -1  0  0  0  0  1
 mtrx07 =  1 -1  0  0 -1  0  0  0  1
 mtrx08 = -1  1  0  0  1  0  0  0  1
 mtrx09 =  0  1  0  1  0  0  0  0  1
 mtrx10 = -1  0  0 -1  1  0  0  0  1
 mtrx11 =  1  0  0  1 -1  0  0  0  1
 mtrx12 =  0 -1  0 -1  0  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n        elda        ecor           x        sx-x          ch         sig         vxc        eqp0        eqp1         ch'        sig'       eqp0'       eqp1'         Znk
  18    3.937032    3.937032  -48.271240   22.401004  -14.889706  -40.759942  -36.807542   -0.015368    0.941390  -14.097649  -39.967885    0.776689    1.541714    0.757930
  19    4.052192    4.052192  -48.746161   22.621743  -15.076675  -41.201092  -37.224499    0.075600    1.039513  -14.271142  -40.395560    0.881132    1.649787    0.757603
  20    4.091949    4.091949  -48.484600   22.600797  -15.102018  -40.985821  -37.033353    0.139481    1.096714  -14.304028  -40.187831    0.937472    1.701442    0.757814
  21    5.485145    5.485145  -38.390523   19.518624  -13.912940  -32.784839  -29.722378    2.422683    3.117415  -13.383771  -32.255670    2.951852    3.526540    0.773146
  22    6.495763    6.495763  -34.484219   18.066662  -13.441220  -29.858778  -27.198935    3.835920    4.417607  -13.003612  -29.421169    4.273529    4.759514    0.781308
  23    6.935498    6.935498  -32.163754   17.555916  -13.246654  -27.854491  -25.324586    4.405593    4.954327  -12.890860  -27.498698    4.761386    5.232949    0.783101
  24    7.467711    7.467711  -31.925513   17.813710  -13.676717  -27.788521  -25.276300    4.955490    5.500567  -13.339687  -27.451491    5.292521    5.764472    0.783030
  25    7.802237    7.802237  -31.999795   17.998306  -13.957121  -27.958611  -25.503993    5.347619    5.880457  -13.616317  -27.617807    5.688423    6.147281    0.782924
  26    7.973396    7.973396  -32.442441   18.164819  -14.128290  -28.405911  -25.915678    5.483163    6.024273  -13.776760  -28.054381    5.834693    6.299418    0.782707
  27   11.969759   11.969759  -10.948451    6.703937  -10.461239  -14.705753  -15.393728   12.657734   12.527035  -10.388505  -14.633020   12.730467   12.585951    0.810024
  28   13.794013   13.794013  -10.005241    6.010237  -10.422332  -14.417337  -15.363560   14.740237   14.557560  -10.343776  -14.338781   14.818792   14.620950    0.806942
  29   17.326798   17.326798   -8.161272    4.087498   -8.989470  -13.063245  -14.292216   18.555770   18.325088   -8.897851  -12.971626   18.647389   18.399510    0.812297
  30   18.693069   18.693069   -7.231061    3.361491   -8.385055  -12.254625  -13.540458   19.978902   19.741880   -8.300823  -12.170394   20.063133   19.810585    0.815667
  31   19.953546   19.953546   -6.935204    3.427930   -8.750596  -12.257870  -13.546630   21.242307   20.996009   -8.675655  -12.182929   21.317248   21.056628    0.808888
  32   20.615405   20.615405   -6.564697    3.156898   -8.424256  -11.832055  -13.114440   21.897789   21.655814   -8.350439  -11.758238   21.971606   21.715702    0.811309
  33   21.589728   21.589728   -6.607684    3.117058   -8.606319  -12.096946  -13.432881   22.925663   22.669282   -8.533691  -12.024317   22.998292   22.727972    0.808088
  34   22.074229   22.074229   -6.744434    3.203358   -8.776618  -12.317694  -13.672188   23.428724   23.163719   -8.698530  -12.239606   23.506811   23.226529    0.804351
  35   24.673619   24.673619   -5.599655    3.002589   -8.587541  -11.184607  -12.260819   25.749831   25.529701   -8.501691  -11.098756   25.835682   25.597991    0.795458
  36   26.747220   26.747220   -5.280679    3.006563   -9.001730  -11.275845  -12.348762   27.820137   27.584317   -8.920287  -11.194403   27.901580   27.647859    0.780207
  37   27.352773   27.352773   -6.260146    3.742768   -9.316695  -11.834074  -12.931118   28.449817   28.221725   -9.200843  -11.718221   28.565670   28.313490    0.792085
  38   29.834810   29.834810   -4.558960    2.494363   -8.653142  -10.717740  -11.665835   30.782905   30.561381   -8.578786  -10.643383   30.857262   30.618364    0.766349
  39   30.438181   30.438181   -5.733250    3.368080   -9.648705  -12.013875  -13.014019   31.438324   31.200728   -9.535863  -11.901034   31.551166   31.286763    0.762438
  40   30.806926   30.806926   -5.466385    2.937012   -9.302845  -11.832218  -12.854543   31.829252   31.577705   -9.212133  -11.741506   31.919963   31.646097    0.753947
 
       k =  0.000000  0.400000  0.000000 ik =   7 spin = 1

   n        elda        ecor           x        sx-x          ch         sig         vxc        eqp0        eqp1         ch'        sig'       eqp0'       eqp1'         Znk
  11    2.431049    2.431049  -34.429959   17.988816  -12.089365  -28.530508  -25.530352   -0.569106    0.136069  -11.694310  -28.135453   -0.174051    0.438267    0.764954
  12    2.729156    2.729156  -33.842304   17.830164  -12.092279  -28.104419  -25.168739   -0.206524    0.478871  -11.710759  -27.722899    0.174995    0.771317    0.766529
  13    2.955909    2.955909  -42.084431   20.834958  -13.926698  -35.176170  -31.650966   -0.569295    0.283895  -13.334575  -34.584047    0.022828    0.732709    0.757974
  14    3.250410    3.250410  -39.379142   19.823239  -13.389148  -32.945051  -29.640368   -0.054272    0.734455  -12.863781  -32.419684    0.471095    1.134433    0.761330
  15    3.418800    3.418800  -42.881890   21.180537  -14.255642  -35.956994  -32.446921   -0.091273    0.756836  -13.638264  -35.339616    0.526105    1.225043    0.758379
  16    3.447063    3.447063  -41.141576   20.195051  -13.579411  -34.525937  -31.092528    0.013654    0.833228  -12.996115  -33.942641    0.596950    1.277288    0.761294
  17    3.861394    3.861394  -47.066220   22.058202  -14.658736  -39.666754  -35.790463   -0.014897    0.924144  -13.898823  -38.906842    0.745015    1.499966    0.757748
  18    3.994507    3.994507  -48.461898   22.394457  -14.847456  -40.914896  -36.972041    0.051651    1.008393  -14.051261  -40.118701    0.847847    1.611390    0.757348
  19    4.126612    4.126612  -49.017682   22.768652  -15.204346  -41.453376  -37.463498    0.136734    1.104104  -14.390760  -40.639790    0.950320    1.720432    0.757544
  20    4.345724    4.345724  -46.502890   21.989795  -14.786506  -39.299601  -35.505785    0.551909    1.465326  -14.045401  -38.558496    1.293014    2.027999    0.759235
  21    4.523486    4.523486  -36.191485   18.575117  -13.039247  -30.655615  -27.733288    1.601160    2.269994  -12.583807  -30.200175    2.056599    2.621197    0.771130
  22    5.061916    5.061916  -36.695048   18.851470  -13.309107  -31.152686  -28.133327    2.042558    2.725053  -12.825370  -30.668949    2.526295    3.099446    0.773960
  23    5.809926    5.809926  -34.377679   18.177291  -13.232110  -29.432498  -26.696102    3.073530    3.680023  -12.815934  -29.016322    3.489705    4.003957    0.778361
  24    6.362660    6.362660  -30.219328   16.955105  -12.722884  -25.987107  -23.475131    3.850684    4.394714  -12.433611  -25.697834    4.139958    4.621339    0.783425
  25    7.412242    7.412242  -31.781396   17.725485  -13.541635  -27.597546  -25.134590    4.949285    5.481884  -13.199168  -27.255080    5.291752    5.750295    0.783756
  26    7.722947    7.722947  -31.716590   17.904958  -13.886387  -27.698020  -25.227684    5.252611    5.788712  -13.558710  -27.370342    5.580288    6.045279    0.782984
  27   13.449132   13.449132   -9.896474    5.885428  -10.218817  -14.229862  -15.166863   14.386133   14.208419  -10.142612  -14.153657   14.462338   14.270171    0.810337
  28   15.818033   15.818033   -7.532225    3.816417   -8.344488  -12.060297  -13.068199   16.825936   16.647753   -8.260765  -11.976574   16.909659   16.716675    0.823214
  29   16.030226   16.030226   -9.193957    4.864488   -9.429406  -13.758875  -14.697625   16.968976   16.792770   -9.312743  -13.642212   17.085639   16.887535    0.812297
  30   16.893908   16.893908  -10.282643    5.576494  -10.688705  -15.394854  -16.737785   18.236839   17.965551  -10.570260  -15.276409   18.355284   18.060068    0.797988
  31   19.127372   19.127372   -8.834096    4.784246  -10.220764  -14.270614  -15.510179   20.366937   20.114763  -10.108842  -14.158692   20.478859   20.203916    0.796562
  32   20.623724   20.623724   -6.922880    3.832709   -9.139053  -12.229224  -13.220716   21.615216   21.417146   -9.039493  -12.129664   21.714776   21.496816    0.800230
  33   21.693702   21.693702   -6.839711    3.132456   -8.414767  -12.122022  -13.409073   22.980753   22.738530   -8.326657  -12.033912   23.068863   22.810058    0.811800
  34   22.486405   22.486405   -7.378715    3.918960  -10.097437  -13.557192  -14.846351   23.775564   23.497128   -9.998551  -13.458306   23.874450   23.574656    0.784017
  35   24.228772   24.228772   -5.992282    2.763749   -8.658128  -11.886660  -13.259128   25.601240   25.319966   -8.587398  -11.815931   25.671969   25.376201    0.795060
  36   26.840792   26.840792   -5.878180    3.349293   -9.469434  -11.998321  -13.152371   27.994842   27.737377   -9.385085  -11.913972   28.079191   27.802908    0.776903
  37   27.773356   27.773356   -6.194294    3.759427   -9.913101  -12.347968  -13.506559   28.931947   28.665051   -9.817033  -12.251900   29.028015   28.738989    0.769637
  38   28.042062   28.042062   -6.423809    3.704141   -9.913253  -12.632922  -13.775075   29.184214   28.920638   -9.794614  -12.514283   29.302853   29.011898    0.769228
  39   31.656713   31.656713   -3.846417    1.399867   -7.751664  -10.198213  -11.054824   32.513323   32.304984   -7.705992  -10.152541   32.558995   32.339548    0.756787
  40   32.806928   32.806928   -5.962592    2.802686   -9.690198  -12.850104  -13.547558   33.504381   33.309425   -9.588231  -12.748138   33.606347   33.382889    0.720474
 
       k =  0.000000  0.400000  0.333333 ik =   8 spin = 1

   n        elda        ecor           x        sx-x          ch         sig         vxc        eqp0        eqp1         ch'        sig'       eqp0'       eqp1'         Znk
  11    2.315955    2.315955  -32.653447   17.345246  -11.676588  -26.984789  -24.118622   -0.550212    0.119781  -11.327229  -26.635430   -0.200853    0.387475    0.766241
  12    2.428181    2.428181  -31.813084   17.010950  -11.492884  -26.295018  -23.498095   -0.368742    0.280914  -11.164317  -25.966451   -0.040175    0.533163    0.767725
  13    3.049344    3.049344  -42.097439   20.875676  -13.985920  -35.207683  -31.694611   -0.463728    0.385054  -13.392708  -34.614470    0.129485    0.834942    0.758393
  14    3.176094    3.176094  -39.797404   20.001009  -13.464887  -33.261282  -29.912123   -0.173065    0.628325  -12.927928  -32.724323    0.363894    1.036800    0.760719
  15    3.256491    3.256491  -40.819108   20.251471  -13.599626  -34.167264  -30.749251   -0.161521    0.659197  -13.033371  -33.601009    0.404734    1.089485    0.759884
  16    3.277729    3.277729  -42.413768   21.003602  -14.118666  -35.528832  -32.026634   -0.224470    0.621135  -13.515156  -34.925323    0.379039    1.078927    0.758550
  17    3.987723    3.987723  -47.591891   22.093854  -14.661151  -40.159189  -36.262849    0.091383    1.034549  -13.887669  -39.385707    0.864865    1.620799    0.757935
  18    4.018441    4.018441  -48.586621   22.487382  -14.933412  -41.032651  -37.079153    0.064943    1.023055  -14.133382  -40.232621    0.864973    1.629202    0.757655
  19    4.079570    4.079570  -48.840436   22.667935  -15.105463  -41.277964  -37.303176    0.104782    1.068013  -14.297432  -40.469933    0.912813    1.680229    0.757665
  20    4.189561    4.189561  -47.937868   22.387815  -14.951487  -40.501540  -36.593885    0.281906    1.227251  -14.168628  -39.718680    1.064765    1.820720    0.758079
  21    4.797313    4.797313  -40.498132   20.031051  -13.918609  -34.385690  -31.131203    1.542826    2.296056  -13.335952  -33.803033    2.125483    2.743861    0.768556
  22    5.142218    5.142218  -38.325014   19.448715  -13.751895  -32.628193  -29.546344    2.060369    2.762705  -13.226572  -32.102870    2.585692    3.168309    0.772106
  23    6.492922    6.492922  -31.575694   17.411034  -13.025030  -27.189690  -24.663393    3.966625    4.516174  -12.691223  -26.855883    4.300432    4.777367    0.782469
  24    6.733699    6.733699  -30.898115   17.276758  -13.059706  -26.681062  -24.163614    4.216251    4.762052  -12.751662  -26.373019    4.524294    5.003310    0.783192
  25    7.404853    7.404853  -31.542225   17.697757  -13.601114  -27.445583  -24.952941    4.912211    5.452832  -13.276766  -27.121234    5.236559    5.706834    0.783113
  26    7.476314    7.476314  -31.623519   17.830140  -13.695063  -27.488443  -25.035214    5.023084    5.555762  -13.367989  -27.161369    5.350159    5.811818    0.782867
  27   13.511508   13.511508   -8.638460    4.909338   -9.214452  -12.943573  -13.874207   14.442142   14.274032   -9.145384  -12.874506   14.511210   14.330624    0.819360
  28   14.639249   14.639249   -8.496546    4.714443   -9.089639  -12.871742  -13.756809   15.524316   15.363846   -9.004726  -12.786830   15.609228   15.433363    0.818692
  29   16.768789   16.768789   -9.511985    5.230080  -10.269143  -14.551048  -15.739468   17.957209   17.721025  -10.161152  -14.443057   18.065201   17.807555    0.801262
  30   17.001319   17.001319  -10.021458    5.471143  -10.658411  -15.208725  -16.553967   18.346561   18.073986  -10.545610  -15.095925   18.459362   18.163930    0.797378
  31   19.112573   19.112573   -7.862378    3.977969   -9.101690  -12.986099  -14.195309   20.321783   20.088497   -8.999141  -12.883549   20.424332   20.171262    0.807076
  32   20.573559   20.573559   -6.862439    3.257605   -8.356473  -11.961307  -13.154538   21.766790   21.543006   -8.262463  -11.867297   21.860801   21.619385    0.812455
  33   21.842384   21.842384   -6.914440    3.367316   -8.897694  -12.444817  -13.730469   23.128035   22.876763   -8.810452  -12.357576   23.215277   22.946954    0.804557
  34   22.242403   22.242403   -7.182431    3.725133   -9.686477  -13.143774  -14.441795   23.540424   23.267873   -9.593828  -13.051126   23.633072   23.341067    0.790026
  35   23.257377   23.257377   -5.626345    2.892629   -8.600564  -11.334280  -12.450043   24.373139   24.143744   -8.526675  -11.260390   24.447029   24.202442    0.794405
  36   26.186354   26.186354   -5.536181    3.174654   -9.216985  -11.578512  -12.649219   27.257060   27.022455   -9.130671  -11.492198   27.343374   27.089856    0.780887
  37   29.246081   29.246081   -6.299318    3.830727  -10.021434  -12.490025  -13.617595   30.373651   30.115904   -9.903186  -12.371777   30.491899   30.207123    0.771414
  38   29.756004   29.756004   -5.736261    3.257590   -9.893081  -12.371752  -13.216298   30.600550   30.386231   -9.806801  -12.285472   30.686830   30.450617    0.746232
  39   30.029357   30.029357   -5.767604    3.111262   -9.795563  -12.451905  -13.551936   31.129389   30.857479   -9.699444  -12.355786   31.225507   30.929839    0.752817
  40   32.343546   32.343546   -5.763811    2.037785   -8.351135  -12.077161  -13.139501   33.405885   33.147588   -8.246826  -11.972852   33.510194   33.226536    0.756860
 
       k =  0.000000  0.400000  0.666667 ik =   9 spin = 1

   n        elda        ecor           x        sx-x          ch         sig         vxc        eqp0        eqp1         ch'        sig'       eqp0'       eqp1'         Znk
  11    2.315955    2.315955  -32.653414   17.344941  -11.676752  -26.985225  -24.118622   -0.550647    0.119343  -11.327391  -26.635864   -0.201287    0.387050    0.766277
  12    2.428181    2.428181  -31.813033   17.010462  -11.492286  -26.294856  -23.498095   -0.368580    0.281140  -11.163720  -25.966290   -0.040014    0.533376    0.767689
  13    3.049344    3.049344  -42.097456   20.875503  -13.987142  -35.209095  -31.694611   -0.465140    0.383935  -13.393928  -34.615882    0.128073    0.833832    0.758407
  14    3.176094    3.176094  -39.797400   20.001848  -13.466013  -33.261565  -29.912123   -0.173348    0.628216  -12.929054  -32.724606    0.363612    1.036674    0.760687
  15    3.256491    3.256491  -40.819091   20.252445  -13.599573  -34.166220  -30.749252   -0.160477    0.659973  -13.033318  -33.599965    0.405778    1.090264    0.759890
  16    3.277729    3.277729  -42.413743   21.003599  -14.117007  -35.527151  -32.026634   -0.222789    0.622432  -13.513499  -34.923643    0.380719    1.080219    0.758544
  17    3.987723    3.987723  -47.591921   22.095880  -14.662207  -40.158247  -36.262849    0.092324    1.035262  -13.888726  -39.384767    0.865805    1.621511    0.757936
  18    4.018441    4.018441  -48.586628   22.487784  -14.933393  -41.032237  -37.079153    0.065357    1.023459  -14.133365  -40.232210    0.865385    1.629586    0.757632
  19    4.079570    4.079570  -48.840427   22.667798  -15.105515  -41.278144  -37.303176    0.104602    1.067856  -14.297482  -40.470110    0.912635    1.680078    0.757670
  20    4.189561    4.189561  -47.937842   22.387457  -14.951504  -40.501889  -36.593885    0.281557    1.227035  -14.168643  -39.719027    1.064418    1.820496    0.758066
  21    4.797313    4.797313  -40.498181   20.029072  -13.918073  -34.387182  -31.131203    1.541334    2.294912  -13.335416  -33.804526    2.123990    2.742716    0.768556
  22    5.142218    5.142218  -38.324975   19.448661  -13.750628  -32.626942  -29.546344    2.061621    2.763636  -13.225306  -32.101620    2.586943    3.169247    0.772117
  23    6.492922    6.492922  -31.575928   17.421056  -13.026023  -27.180895  -24.663393    3.975420    4.523065  -12.692215  -26.847087    4.309228    4.784259    0.782465
  24    6.733699    6.733699  -30.898209   17.276385  -13.060802  -26.682626  -24.163614    4.214687    4.760804  -12.752758  -26.374582    4.522731    5.002065    0.783202
  25    7.404853    7.404853  -31.542136   17.698723  -13.600490  -27.443902  -24.952941    4.913891    5.454171  -13.276142  -27.119554    5.238240    5.708169    0.783104
  26    7.476314    7.476314  -31.623474   17.824981  -13.695625  -27.494118  -25.035214    5.017409    5.551337  -13.368551  -27.167045    5.344483    5.807390    0.782859
  27   13.511508   13.511508   -8.638494    4.910521   -9.215825  -12.943797  -13.874207   14.441918   14.273838   -9.146758  -12.874730   14.510985   14.330428    0.819348
  28   14.639249   14.639249   -8.496384    4.703047   -9.086852  -12.880189  -13.756809   15.515869   15.356940   -9.001939  -12.795276   15.600782   15.426458    0.818702
  29   16.768789   16.768789   -9.512061    5.241261  -10.271446  -14.542246  -15.739468   17.966011   17.728038  -10.163456  -14.434256   18.074002   17.814563    0.801229
  30   17.001319   17.001319  -10.021470    5.471556  -10.657309  -15.207223  -16.553967   18.348064   18.075221  -10.544508  -15.094422   18.460864   18.165168    0.797405
  31   19.112573   19.112573   -7.862337    3.959236   -9.090900  -12.994001  -14.195309   20.313880   20.082223   -8.988351  -12.891452   20.416429   20.164997    0.807162
  32   20.573559   20.573559   -6.862344    3.253886   -8.356638  -11.965096  -13.154538   21.763001   21.539899   -8.262627  -11.871086   21.857012   21.616276    0.812431
  33   21.842384   21.842384   -6.914527    3.380549   -8.900906  -12.434884  -13.730469   23.137969   22.884553   -8.813665  -12.347643   23.225210   22.954730    0.804400
  34   22.242403   22.242403   -7.182344    3.711853   -9.683361  -13.153853  -14.441795   23.530345   23.260488   -9.590713  -13.061204   23.622994   23.333724    0.790474
  35   23.257377   23.257377   -5.626393    2.892501   -8.596321  -11.330212  -12.450043   24.377207   24.146658   -8.522430  -11.256322   24.451097   24.205336    0.794121
  36   26.186354   26.186354   -5.536120    3.180868   -9.222310  -11.577562  -12.649219   27.258011   27.023556   -9.135996  -11.491248   27.344324   27.090986    0.781222
  37   29.246081   29.246081   -6.299370    3.828870  -10.022484  -12.492983  -13.617595   30.370692   30.114548   -9.904234  -12.374734   30.488942   30.205864    0.772237
  38   29.756004   29.756004   -5.736309    3.261012   -9.897096  -12.372393  -13.216298   30.599909   30.385536   -9.810815  -12.286112   30.686190   30.449899    0.745974
  39   30.029357   30.029357   -5.767662    3.114719   -9.795749  -12.448691  -13.551936   31.132602   30.859783   -9.699630  -12.352573   31.228720   30.932132    0.752712
  40   32.343546   32.343546   -5.763726    2.036329   -8.347527  -12.074924  -13.139501   33.408122   33.149304   -8.243220  -11.970617   33.512430   33.228253    0.756881
 
       k =  0.200000  0.200000  0.000000 ik =  10 spin = 1

   n        elda        ecor           x        sx-x          ch         sig         vxc        eqp0        eqp1         ch'        sig'       eqp0'       eqp1'         Znk
  11    2.564209    2.564209  -34.532166   18.021314  -12.151947  -28.662800  -25.677192   -0.421399    0.279617  -11.752588  -28.263440   -0.022039    0.585208    0.765202
  12    2.705146    2.705146  -38.998036   19.739345  -13.215390  -32.474080  -29.141374   -0.627560    0.169838  -12.704059  -31.962750   -0.116230    0.558826    0.760735
  13    2.997929    2.997929  -41.276635   20.505865  -13.733365  -34.504134  -31.037710   -0.468495    0.369390  -13.162683  -33.933452    0.102187    0.802129    0.758286
  14    3.051542    3.051542  -40.000603   20.069487  -13.487587  -33.418703  -30.069367   -0.297795    0.506048  -12.947973  -32.879089    0.241820    0.916155    0.759999
  15    3.363570    3.363570  -42.432699   20.948415  -14.090401  -35.574684  -32.077340   -0.133774    0.710937  -13.484845  -34.969129    0.471781    1.170233    0.758471
  16    3.468685    3.468685  -35.888821   18.336376  -12.510393  -30.062838  -27.021936    0.427783    1.134068  -12.065497  -29.617942    0.872679    1.475631    0.767738
  17    3.742868    3.742868  -47.327647   22.170837  -14.728383  -39.885193  -35.977911   -0.164414    0.781113  -13.962247  -39.119058    0.601722    1.361851    0.758009
  18    3.911969    3.911969  -47.948699   22.295270  -14.793382  -40.446811  -36.524119   -0.010723    0.942748  -14.012467  -39.665897    0.770191    1.533849    0.756935
  19    4.122426    4.122426  -48.940078   22.744070  -15.190963  -41.386970  -37.398778    0.134234    1.100778  -14.379549  -40.575556    0.945648    1.715545    0.757649
  20    4.336226    4.336226  -43.868400   21.127301  -14.354225  -37.095323  -33.526863    0.767765    1.617133  -13.688434  -36.429532    1.433556    2.124452    0.761979
  21    4.607923    4.607923  -40.514494   20.111184  -13.938039  -34.341349  -31.048311    1.314885    2.081008  -13.361329  -33.764639    1.891595    2.523547    0.767351
  22    5.658669    5.658669  -32.800735   17.547531  -12.723460  -27.976664  -25.282148    2.964153    3.555093  -12.344011  -27.597215    3.343601    3.851324    0.780688
  23    5.773839    5.773839  -36.235361   18.751981  -13.549882  -31.033263  -28.110971    2.851548    3.502570  -13.072867  -30.556248    3.328563    3.873317    0.777222
  24    6.292605    6.292605  -30.864256   17.034365  -12.766546  -26.596437  -24.123728    3.819896    4.356580  -12.453963  -26.283853    4.132480    4.601319    0.782957
  25    7.551847    7.551847  -32.266737   17.892234  -13.746741  -28.121244  -25.596936    5.027539    5.574886  -13.395456  -27.769958    5.378825    5.850002    0.783169
  26    7.645721    7.645721  -31.839244   17.882335  -13.759370  -27.716279  -25.264879    5.194321    5.725717  -13.421911  -27.378820    5.531780    5.990024    0.783228
  27   13.063937   13.063937  -10.774599    6.555925  -10.729357  -14.948031  -15.771042   13.886947   13.727502  -10.647665  -14.866340   13.968639   13.793367    0.806266
  28   16.037389   16.037389   -9.510994    5.200259  -10.039399  -14.350134  -15.470336   17.157590   16.940401   -9.933353  -14.244088   17.263637   17.025887    0.806116
  29   16.859860   16.859860   -9.482301    5.033225   -9.826301  -14.275377  -15.436114   18.020598   17.795814   -9.709565  -14.158641   18.137333   17.889943    0.806344
  30   17.273605   17.273605   -8.501432    4.370617   -9.177715  -13.308531  -14.367520   18.332594   18.133664   -9.069171  -13.199987   18.441138   18.221818    0.812151
  31   19.226714   19.226714   -6.903481    3.705417   -9.035959  -12.234023  -13.357129   20.349820   20.133275   -8.968683  -12.166747   20.417095   20.187579    0.807191
  32   20.237356   20.237356   -7.674174    3.630246   -8.846448  -12.890376  -14.165823   21.512803   21.271049   -8.743231  -12.787159   21.616020   21.354701    0.810455
  33   20.390251   20.390251   -7.126661    3.603343   -8.942591  -12.465910  -13.673517   21.597857   21.362128   -8.851968  -12.375287   21.688481   21.435061    0.804796
  34   23.298065   23.298065   -6.201726    3.273862   -8.948276  -11.876140  -12.972317   24.394243   24.169882   -8.856051  -11.783914   24.486468   24.243231    0.795325
  35   23.878164   23.878164   -7.115923    3.425103   -9.761639  -13.452459  -14.942860   25.368564   25.047296   -9.675566  -13.366386   25.454638   25.114815    0.784441
  36   25.721075   25.721075   -6.438807    3.655119   -9.261421  -12.045109  -13.325032   27.000999   26.748903   -9.166440  -11.950127   27.095981   26.825177    0.803038
  37   29.858030   29.858030   -6.297534    3.676452   -9.972307  -12.593389  -13.656124   30.920764   30.667628   -9.869604  -12.490686   31.023467   30.745867    0.761807
  38   30.241379   30.241379   -5.386672    3.188732   -9.406784  -11.604723  -12.597186   31.233842   31.000532   -9.312167  -11.510107   31.328458   31.072906    0.764919
  39   30.269085   30.269085   -4.035452    1.859420   -7.931931  -10.107963  -11.081462   31.242584   31.015940   -7.872743  -10.048776   31.301771   31.061348    0.767187
  40   31.827401   31.827401   -5.926170    2.862066   -9.849558  -12.913662  -13.862708   32.776448   32.521473   -9.739403  -12.803507   32.886603   32.602033    0.731336
 
       k =  0.200000  0.200000  0.333333 ik =  11 spin = 1

   n        elda        ecor           x        sx-x          ch         sig         vxc        eqp0        eqp1         ch'        sig'       eqp0'       eqp1'         Znk
  11    2.429641    2.429641  -33.304472   17.553904  -11.828992  -27.579561  -24.683116   -0.466804    0.210755  -11.461836  -27.212405   -0.099648    0.492023    0.766072
  12    2.511772    2.511772  -33.418570   17.640482  -11.900813  -27.678902  -24.765862   -0.401268    0.279154  -11.530507  -27.308596   -0.030962    0.562965    0.766422
  13    2.970206    2.970206  -41.010215   20.411292  -13.653861  -34.252784  -30.794988   -0.487590    0.345894  -13.089004  -33.687927    0.077266    0.774594    0.758955
  14    2.983955    2.983955  -39.494751   19.859393  -13.348504  -32.983862  -29.658321   -0.341587    0.455976  -12.823224  -32.458582    0.183693    0.855278    0.760171
  15    3.155402    3.155402  -41.985935   20.729414  -13.870355  -35.126877  -31.617971   -0.353503    0.493803  -13.275743  -34.532265    0.241109    0.944833    0.758527
  16    3.237298    3.237298  -42.310915   20.925003  -14.046346  -35.432258  -31.925428   -0.269532    0.579423  -13.445070  -34.830982    0.331744    1.035139    0.757914
  17    3.916823    3.916823  -47.811260   22.241259  -14.784379  -40.354380  -36.431422   -0.006135    0.943799  -14.005186  -39.575188    0.773058    1.534312    0.757853
  18    4.000425    4.000425  -48.457087   22.412337  -14.875155  -40.919905  -36.972100    0.052621    1.010211  -14.079135  -40.123885    0.848641    1.613146    0.757437
  19    4.086272    4.086272  -48.672353   22.604826  -15.068540  -41.136068  -37.170613    0.120817    1.081788  -14.265290  -40.332817    0.924067    1.690382    0.757664
  20    4.187267    4.187267  -48.089177   22.437984  -15.007529  -40.658722  -36.739516    0.268061    1.215639  -14.220417  -39.871610    1.055173    1.812444    0.758222
  21    5.189644    5.189644  -38.892627   19.637961  -13.883911  -33.138577  -30.025624    2.076691    2.788095  -13.345964  -32.600630    2.614638    3.203105    0.771470
  22    5.652458    5.652458  -37.816629   19.303644  -13.853563  -32.366548  -29.369764    2.655674    3.331235  -13.337239  -31.850223    3.171999    3.731165    0.774571
  23    6.464844    6.464844  -30.272764   16.928365  -12.714496  -26.058896  -23.602206    4.008154    4.538903  -12.416443  -25.760843    4.306207    4.772564    0.783958
  24    6.474485    6.474485  -31.380870   17.237606  -12.894881  -27.038145  -24.484926    3.921266    4.474835  -12.563963  -26.707227    4.252184    4.734006    0.783188
  25    7.207686    7.207686  -32.251638   17.704530  -13.452620  -27.999729  -25.447346    4.655302    5.208528  -13.097638  -27.644746    5.010285    5.486569    0.783251
  26    7.605198    7.605198  -31.502099   17.828831  -13.761874  -27.435142  -24.998001    5.168058    5.696906  -13.439720  -27.112988    5.490212    5.949154    0.783005
  27   13.459070   13.459070   -9.969531    6.000075  -10.298273  -14.267729  -15.130510   14.321851   14.157159  -10.221072  -14.190528   14.399052   14.219623    0.809114
  28   14.894144   14.894144   -9.723811    5.652112  -10.190656  -14.262355  -15.172682   15.804470   15.628919  -10.094215  -14.165915   15.900911   15.706761    0.807156
  29   17.149944   17.149944   -9.071967    4.653409   -9.631656  -14.050214  -15.402917   18.502647   18.242718   -9.529177  -13.947735   18.605126   18.325505    0.807845
  30   17.448559   17.448559   -8.595717    4.375187   -9.273996  -13.494526  -14.655130   18.609162   18.388999   -9.167607  -13.388137   18.715551   18.475207    0.810303
  31   19.286214   19.286214   -7.611829    3.917685   -9.193227  -12.887371  -14.090006   20.488849   20.254916   -9.101968  -12.796112   20.580108   20.328424    0.805483
